type,title,note text,source location,tags,notebooks,study set,last updated,created
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/49?lang=eng&id=p23,,,Default Set,2023-12-26T22:03:12.563Z,2023-12-26T22:03:12.563Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/49?lang=eng&id=p14,,,Default Set,2023-12-26T22:00:26.606Z,2023-12-26T22:00:26.606Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/48?lang=eng&id=p4,,,Default Set,2023-12-26T21:44:41.115Z,2023-12-26T21:44:41.115Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/47?lang=eng&id=p29,,,Default Set,2023-12-26T21:41:09.305Z,2023-12-26T21:41:05.015Z
highlight,,<div>I could see how there were not many who turned down the offer!</div>,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/46?lang=eng&id=p35,,,Default Set,2023-12-26T21:35:31.645Z,2020-12-27T16:39:58.503Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/40?lang=eng&id=p8,,,Default Set,2023-12-26T16:32:01.680Z,2023-12-26T16:32:01.680Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/40?lang=eng&id=p3,,,Default Set,2023-12-26T16:31:45.811Z,2023-12-26T16:31:41.217Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/36?lang=eng&id=p28,,,Default Set,2023-12-24T19:27:31.341Z,2023-12-24T19:27:31.341Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/36?lang=eng&id=p13,,,Default Set,2023-12-24T19:22:23.712Z,2023-12-24T19:22:23.712Z
highlight,,The former Zoramites <i>are </i>part of the army who defends against the Lamanites.,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/35?lang=eng&id=p14,,,Default Set,2023-12-24T14:12:10.714Z,2023-12-24T14:10:56.153Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/35?lang=eng&id=p14,,,Default Set,2023-12-24T14:10:47.553Z,2023-12-24T14:10:47.553Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/33?lang=eng&id=p11,,,Default Set,2023-12-22T15:24:55.346Z,2023-12-22T15:24:48.578Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/32?lang=eng&id=p43,,,Default Set,2023-12-22T15:20:49.620Z,2023-12-22T15:20:39.634Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/32?lang=eng&id=p7,,,Default Set,2023-12-22T14:54:35.674Z,2023-12-22T14:54:35.674Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/23?lang=eng&id=p7,,,Default Set,2023-12-20T17:45:39.699Z,2023-12-20T17:45:39.699Z
reference,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/23?lang=eng&id=p2,,,Default Set,2023-12-20T17:42:52.577Z,2023-12-20T17:41:10.718Z
highlight,,<div>Dead arm?</div>,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/20?lang=eng&id=p20,,,Default Set,2023-12-20T16:11:19.613Z,2023-12-20T16:11:04.832Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/12?lang=eng&id=p26,,,Default Set,2023-12-19T15:06:44.617Z,2023-12-19T15:06:31.948Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/12?lang=eng&id=p6,,,Default Set,2023-12-19T14:48:51.315Z,2023-12-19T14:48:51.315Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/12?lang=eng&id=p5,,,Default Set,2023-12-19T14:48:48.985Z,2010-12-12T14:40:05.124Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/11?lang=eng&id=p20,,,Default Set,2023-12-19T14:38:42.792Z,2023-12-19T14:38:42.792Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/11?lang=eng&id=p1,,,Default Set,2023-12-19T03:22:42.291Z,2023-12-19T03:22:42.291Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/10?lang=eng&id=p32,,,Default Set,2023-12-19T03:05:45.521Z,2023-12-19T03:05:45.521Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/10?lang=eng&id=p27,,,Default Set,2023-12-19T03:00:31.372Z,2023-12-19T03:00:31.372Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/10?lang=eng&id=p17,,,Default Set,2023-12-19T02:53:40.278Z,2023-12-19T02:53:40.278Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/8?lang=eng&id=p31,,,Default Set,2023-12-18T23:04:01.509Z,2023-12-18T23:04:01.509Z
reference,,<div>See also Alma 13:24</div>,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/8?lang=eng&id=p20,,,Default Set,2023-12-18T23:00:15.286Z,2014-06-06T12:26:48.440Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/7?lang=eng&id=p19,,,Default Set,2023-12-18T22:50:14.457Z,2023-12-18T22:50:05.939Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/7?lang=eng&id=p7,,,Default Set,2023-12-18T15:54:30.024Z,2023-12-18T15:54:25.080Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/5?lang=eng&id=p27,,,Default Set,2023-12-18T14:17:48.102Z,2023-12-18T14:17:48.102Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/5?lang=eng&id=p20,,,Default Set,2023-12-18T13:38:51.232Z,2023-12-18T13:38:51.232Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/ot/ps/40?lang=eng&id=p10-p11,,,Default Set,2023-12-18T13:37:03.959Z,2023-12-18T13:37:03.959Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2017/04/the-voice-of-warning?lang=eng&id=p33,,,Default Set,2023-12-18T04:40:14.651Z,2023-12-18T04:40:14.650Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2017/04/the-voice-of-warning?lang=eng&id=p26,,,Default Set,2023-12-18T04:37:52.856Z,2023-12-18T04:37:46.796Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2017/04/the-voice-of-warning?lang=eng&id=p26,,,Default Set,2023-12-18T04:37:25.364Z,2023-12-18T04:37:25.364Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2017/04/the-voice-of-warning?lang=eng&id=p22-p24,,,Default Set,2023-12-18T04:36:28.396Z,2023-12-18T04:36:19.986Z
reference,,,https://www.churchofjesuschrist.org/study/general-conference/2017/04/the-voice-of-warning?lang=eng&id=p17,,,Default Set,2023-12-18T04:33:22.549Z,2023-12-18T04:32:51.715Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2017/04/the-voice-of-warning?lang=eng&id=p16,,,Default Set,2023-12-18T04:32:29.254Z,2023-12-18T04:32:29.254Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2017/04/the-voice-of-warning?lang=eng&id=p16,,,Default Set,2023-12-18T04:32:03.494Z,2023-12-18T04:31:58.491Z
reference,,,https://www.churchofjesuschrist.org/study/general-conference/1985/04/willing-to-submit?lang=eng&id=p45-p46,,,Default Set,2023-12-17T21:37:43.228Z,2023-12-17T19:44:30.688Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2009/04/none-were-with-him?lang=eng&id=p13-p15,,,Default Set,2023-12-17T20:46:20.419Z,2023-12-17T20:45:10.619Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2009/04/none-were-with-him?lang=eng&id=p9,,,Default Set,2023-12-17T20:43:52.822Z,2023-12-17T20:43:52.822Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/rev/11?lang=eng&id=p3,,,Default Set,2023-12-17T19:32:22.602Z,2023-12-17T19:32:22.602Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/rev/9?lang=eng&id=p20-p21,,,Default Set,2023-12-17T19:31:36.559Z,2023-12-17T19:31:36.559Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/hel/8?lang=eng&id=p8,,,Default Set,2023-12-17T18:24:10.029Z,2023-12-17T18:24:10.029Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/hel/8?lang=eng&id=p1-p2,,,Default Set,2023-12-17T18:23:40.857Z,2022-09-18T15:32:55.556Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/4?lang=eng&id=p5,,,Default Set,2023-12-17T13:41:03.184Z,2023-12-17T13:40:54.887Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/3?lang=eng&id=p24,,,Default Set,2023-12-16T21:05:51.718Z,2023-12-16T21:05:47.705Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/3?lang=eng&id=p18,,,Default Set,2023-12-16T21:01:28.304Z,2023-12-16T21:01:28.304Z
highlight,,"<div>Does this imply that there were Lamanites who left behind their traditions and joined the Nephites? That they were accepted for their beliefs, regardless of their skin color?</div>",https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/3?lang=eng&id=p11,,,Default Set,2023-12-16T20:58:18.351Z,2020-11-21T14:39:36.592Z
highlight,,"<div>It's nothing to do with race or genetics. It's about ideas, culture, and choices.</div>",https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/3?lang=eng&id=p8,,,Default Set,2023-12-16T20:54:50.907Z,2020-11-21T14:38:43.464Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/3?lang=eng&id=p2,,,Default Set,2023-12-16T20:53:18.021Z,2023-12-16T20:53:18.021Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/3?lang=eng&id=p1,,,Default Set,2023-12-16T20:53:01.034Z,2023-12-16T20:53:01.034Z
highlight,,"<div>""know thine enemy""</div>",https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/2?lang=eng&id=p12,,,Default Set,2023-12-16T15:11:26.150Z,2023-12-16T15:11:08.172Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/2?lang=eng&id=p19,,,Default Set,2023-12-16T15:10:58.626Z,2023-12-16T15:10:58.626Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/dc-testament/dc/66?lang=eng&id=study_intro1,,,Default Set,2023-12-16T14:44:35.809Z,2023-12-16T14:44:35.809Z
highlight,,"<div>It is worth honoring the restraint of the church members who brought Nehor before the court to be judged, rather than acting as vigilantes taking vengeance. L</div>",https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/1?lang=eng&id=p10,,,Default Set,2023-12-16T14:34:54.863Z,2023-12-16T14:33:19.729Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/10/45uchtdorf?lang=eng&id=p5-p7,,,Default Set,2023-11-26T19:31:12.652Z,2023-11-26T19:30:32.641Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/48?lang=eng&id=p2,,,Default Set,2023-11-26T14:45:08.970Z,2023-11-26T14:45:08.970Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/1989/04/the-effects-of-television?lang=eng&id=p27,,,Default Set,2023-11-13T14:21:49.792Z,2023-11-13T14:21:49.792Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/1989/04/the-effects-of-television?lang=eng&id=p27,,,Default Set,2023-11-13T14:21:40.748Z,2023-11-13T14:21:40.748Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/10/25stevenson?lang=eng&id=p5,,,Default Set,2023-11-12T19:26:53.051Z,2023-11-12T19:26:40.399Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/1-ne/17?lang=eng&id=p8-p9,,,Default Set,2023-11-12T14:17:07.662Z,2023-11-12T14:17:07.662Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/heb/9?lang=eng&id=p15,,,Default Set,2023-11-08T15:08:57.647Z,2023-11-08T15:08:57.647Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/heb/9?lang=eng&id=p28,,,Default Set,2023-11-08T15:08:34.673Z,2023-11-08T15:08:34.673Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/heb/9?lang=eng&id=p26,,,Default Set,2023-11-08T15:08:27.197Z,2023-11-08T15:08:22.072Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/45?lang=eng&id=p13,,,Default Set,2023-11-05T15:27:04.203Z,2023-11-05T15:27:00.095Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/45?lang=eng&id=p8,,,Default Set,2023-11-05T15:26:32.470Z,2023-11-05T15:26:25.580Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/45?lang=eng&id=p2,,,Default Set,2023-11-05T15:26:06.032Z,2023-11-05T15:26:06.032Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/45?lang=eng&id=p3,,,Default Set,2023-11-05T15:25:51.059Z,2023-11-05T15:25:51.059Z
reference,,,https://www.churchofjesuschrist.org/study/scriptures/nt/heb/6?lang=eng&id=p10,,,Default Set,2023-11-05T15:23:05.961Z,2012-11-09T05:28:15.121Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/heb/3?lang=eng&id=p13,,,Default Set,2023-11-05T15:04:58.874Z,2023-11-05T15:04:58.874Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/heb/2?lang=eng&id=p1,,,Default Set,2023-11-04T15:17:19.410Z,2023-11-04T15:17:15.138Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/45?lang=eng&id=p7,,,Default Set,2023-11-03T13:09:49.658Z,2023-11-03T13:09:49.658Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/45?lang=eng&id=p6,,,Default Set,2023-11-03T13:08:37.384Z,2023-11-03T13:08:32.035Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/45?lang=eng&id=p2,,,Default Set,2023-11-02T18:50:27.447Z,2023-11-02T18:50:27.447Z
highlight,,,https://www.churchofjesuschrist.org/study/liahona/2021/03/supporting-each-other-in-our-efforts-to-use-media-wisely?lang=eng&id=p8,,,Default Set,2023-10-28T11:44:24.263Z,2023-10-28T11:44:24.263Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/be-with-and-strengthen-them?lang=eng&id=p12,,,Default Set,2023-10-28T11:34:29.430Z,2023-10-28T11:34:10.132Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/be-with-and-strengthen-them?lang=eng&id=p8,,,Default Set,2023-10-28T11:29:41.845Z,2023-10-28T11:29:41.845Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/titus/1?lang=eng&id=p2,,,Default Set,2023-10-26T13:09:04.311Z,2023-10-26T13:08:59.213Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/10/17oaks?lang=eng&id=p3,,,Default Set,2023-10-22T18:13:55.775Z,2023-10-22T18:13:38.524Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/10/17oaks?lang=eng&id=p1,,,Default Set,2023-10-22T18:12:19.996Z,2023-10-22T18:12:15.268Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/10/11bednar?lang=eng&id=p23,,,Default Set,2023-10-20T13:28:11.764Z,2023-10-20T13:28:11.764Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/10/31sabin?lang=eng&id=p37,,,Default Set,2023-10-18T14:45:47.587Z,2023-10-18T14:45:47.587Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/10/31sabin?lang=eng&id=p5,,,Default Set,2023-10-18T14:45:05.788Z,2023-10-18T14:45:00.662Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/10/31sabin?lang=eng&id=p3,,,Default Set,2023-10-18T14:43:31.622Z,2023-10-18T14:43:25.542Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/10/31sabin?lang=eng&id=p2,,,Default Set,2023-10-18T14:42:18.750Z,2023-10-18T14:42:07.429Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/1-thes/2?lang=eng&id=p13,,,Default Set,2023-10-17T14:33:34.690Z,2023-10-17T14:33:34.690Z
reference,,"Remember the French version:<div><br></div><div>Job 19:26 Quand ma peau sera détruite, il se lèvera; Quand je n'aurai plus de chair, je verrai Dieu</div><div><br></div><div>Translation: When my skin is destroyed, it [my body] will rise again; when my flesh is gone, I will see God.</div><div><br></div><div>It is clear that the Bible really has had some different falsehoods creep in, including in its various versions!</div>",https://www.churchofjesuschrist.org/study/scriptures/ot/job/19?lang=eng&id=p26,,,Default Set,2023-10-16T14:37:34.392Z,2022-03-08T13:57:48.882Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/43?lang=eng&id=p2,,,Default Set,2023-10-15T20:41:20.652Z,2023-10-15T20:41:20.652Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/dc-testament/dc/103?lang=eng&id=p12,,,Default Set,2023-10-15T19:34:28.836Z,2023-10-15T19:34:28.836Z
reference,,<div>j</div>,https://www.churchofjesuschrist.org/study/general-conference/2022/10/57cook?lang=eng&id=p8-p34,,,Default Set,2023-10-08T19:05:14.749Z,2022-10-09T05:02:46.452Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/first-vision-accounts/1835-account?lang=eng&id=p3,,,Default Set,2023-09-26T15:20:46.441Z,2023-09-26T15:20:46.441Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/first-vision-accounts/1835-account?lang=eng&id=p1,,,Default Set,2023-09-26T15:19:05.672Z,2023-09-26T15:19:05.672Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/first-vision-accounts/1832-account?lang=eng&id=p1,,,Default Set,2023-09-26T15:10:06.489Z,2023-09-26T15:10:06.489Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/first-vision-accounts/1832-account?lang=eng&id=p2,,,Default Set,2023-09-26T15:09:47.596Z,2023-09-26T15:09:47.596Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/first-vision-accounts/1832-account?lang=eng&id=p1,,,Default Set,2023-09-26T15:06:24.516Z,2023-09-26T15:06:24.516Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics-essays/first-vision-accounts?lang=eng&id=p3,,,Default Set,2023-09-26T15:05:04.818Z,2023-09-26T15:05:04.818Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics-essays/first-vision-accounts?lang=eng&id=p3,,,Default Set,2023-09-26T15:04:45.550Z,2023-09-26T15:04:45.550Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics-essays/first-vision-accounts?lang=eng&id=p2,,,Default Set,2023-09-26T15:02:47.635Z,2023-09-26T15:02:47.635Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics-essays/first-vision-accounts?lang=eng&id=p2,,,Default Set,2023-09-26T14:59:59.968Z,2023-09-26T14:59:59.968Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/pgp/js-h/1?lang=eng&id=p18,,,Default Set,2023-09-26T14:58:46.498Z,2023-09-26T14:58:46.498Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics-essays/plural-marriage-in-kirtland-and-nauvoo?lang=eng&id=p4,,,Default Set,2023-09-26T14:56:45.317Z,2023-09-26T14:56:45.317Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics-essays/plural-marriage-in-kirtland-and-nauvoo?lang=eng&id=p2,,,Default Set,2023-09-26T14:55:08.867Z,2023-09-26T14:55:08.867Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/40?lang=eng&id=p9,,,Default Set,2023-09-26T14:42:25.514Z,2023-09-26T14:42:25.514Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/04/26christensen?lang=eng&id=p6,,,Default Set,2023-09-10T18:22:49.227Z,2023-09-10T18:22:49.227Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/58?lang=eng&id=p7-p9,,,Default Set,2023-09-10T13:44:41.867Z,2021-01-10T16:56:22.490Z
reference,,"<div>This chapter (13) is where Paul describes charity, the ""more excellent way"" that he referred to at the end of chapter 12, where he began speaking of spiritual gifts.</div>",https://www.churchofjesuschrist.org/study/scriptures/nt/1-cor/13?lang=eng&id=p1,,,Default Set,2023-09-03T16:48:14.214Z,2023-09-03T16:45:02.193Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/36?lang=eng&id=p4,,,Default Set,2023-09-03T16:39:37.578Z,2023-09-03T16:34:31.861Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-individuals-and-families-new-testament-2023/36?lang=eng&id=p5,,,Default Set,2023-09-03T16:38:31.223Z,2023-09-03T16:38:31.223Z
highlight,,<div>See footnote: temp = prove/test</div>,https://www.churchofjesuschrist.org/study/scriptures/nt/1-cor/10?lang=eng&id=p9,,,Default Set,2023-09-03T16:33:14.888Z,2023-09-03T16:32:56.332Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/1-cor/10?lang=eng&id=p10,,,Default Set,2023-09-03T16:32:52.425Z,2023-09-03T16:32:52.425Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2012/10/of-regrets-and-resolutions?lang=eng&id=p16-p20,,,Default Set,2023-08-27T19:56:43.242Z,2023-08-27T19:55:59.924Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/04/57bednar?lang=eng&id=p14,,,Default Set,2023-08-27T18:33:23.169Z,2023-08-27T18:33:23.169Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/04/57bednar?lang=eng&id=p13,,,Default Set,2023-08-27T18:33:13.527Z,2023-08-27T18:33:13.527Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2023/04/57bednar?lang=eng&id=p11,,,Default Set,2023-08-27T13:40:54.300Z,2023-08-27T13:40:54.300Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2004/04/abide-in-me?lang=eng&id=p16,,,Default Set,2023-08-27T13:40:33.116Z,2023-08-27T13:40:33.116Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/rom/16?lang=eng&id=p17,,,Default Set,2023-08-21T13:47:47.688Z,2023-08-21T13:47:47.688Z
highlight,,"What? It's hard to interpret this verse as other than a denial of agency. It sounds like a ""the devil made me do it"" excuse.<div><br></div><div>The New Testament (and Paul) clearly support agency and accountability, though.</div><div><br></div><div>This could be taken as choosing to obey the evil influence within ourselves that is at war with our divine nature. This scripture alone does not make that clear, but that is the message of v25, for example.</div>",https://www.churchofjesuschrist.org/study/scriptures/nt/rom/7?lang=eng&id=p20,,,Default Set,2023-08-19T12:49:52.359Z,2023-08-19T12:44:16.516Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/rom/7?lang=eng&id=p19,,,Default Set,2023-08-19T12:44:10.687Z,2023-08-19T12:44:02.752Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/preach-my-gospel-2023/04-chapter-3/09-chapter-3-lesson-2?lang=eng&id=p27,,,Default Set,2023-08-16T15:43:32.684Z,2023-08-16T15:43:28.713Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/1979/10/a-witness-and-a-warning?lang=eng&id=p29,,,Default Set,2023-08-11T14:11:45.048Z,2023-08-11T14:11:26.549Z
highlight,,<div>Written in 1979</div>,https://www.churchofjesuschrist.org/study/general-conference/1979/10/a-witness-and-a-warning?lang=eng&id=p22,,,Default Set,2023-08-11T14:08:24.618Z,2023-08-11T14:08:05.462Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/1979/10/a-witness-and-a-warning?lang=eng&id=p13,,,Default Set,2023-08-11T13:52:52.832Z,2023-08-11T13:52:52.832Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/1979/10/a-witness-and-a-warning?lang=eng&id=p11,,,Default Set,2023-08-11T13:51:43.566Z,2023-08-11T13:51:43.566Z
